ID          : 1
Type        : City
Population  : 210700
Size        : 
Name        : Aberdeen
 Country    : UK
 Region     : Scotland
Location    : Earth
 Longitude  : -2.083
 Latitude   :   57.150
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 2
Type        : City
Population  : 1950000
Size        : 
Name        : Abidjan
 Country    : Ivory Coast
 Region     : 
Location    : Earth
 Longitude  : -3.867
 Latitude   :    5.333
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 3
Type        : City
Population  : 859640
Size        : 
Name        : Accra
 Country    : Ghana
 Region     : 
Location    : Earth
 Longitude  : -0.200
 Latitude   :    5.550
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 4
Type        : Mountain
Population  : 
Size        : 
Name        : Aconcagua
 Country    : AR
 Region     : 
Location    : Earth
 Longitude  : -70.050
 Latitude   : -32.417
 Elevation  : 6959
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 5
Type        : City
Population  : 1686300
Size        : 
Name        : Addis Abeba
 Country    : Ethiopia
 Region     : 
Location    : Earth
 Longitude  :   39.133
 Latitude   :    9.200
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 6
Type        : City
Population  : 
Size        : 
Name        : Adelboden
 Country    : 
 Region     : 
Location    : Earth
 Longitude  :    7.583
 Latitude   :   46.500
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 7
Type        : City
Population  : 176100
Size        : 
Name        : Aden
 Country    : Yemen
 Region     : 
Location    : Earth
 Longitude  :   44.967
 Latitude   :   12.967
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 8
Type        : City
Population  : 
Size        : 
Name        : Aerdt
 Country    : 
 Region     : 
Location    : Earth
 Longitude  :    6.083
 Latitude   :   51.900
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 9
Type        : City
Population  : 41200
Size        : 
Name        : Agrigento
 Country    : IT
 Region     : 
Location    : Earth
 Longitude  :   13.600
 Latitude   :   37.283
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 10
Type        : City
Population  : 
Size        : 
Name        : Aix-les-Bains
 Country    : FR
 Region     : 
Location    : Earth
 Longitude  :    5.950
 Latitude   :   45.717
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 11
Type        : City
Population  : 101082
Size        : 
Name        : Albany
 Country    : US
 Region     : NY
Location    : Earth
 Longitude  : -74.000
 Latitude   :   42.633
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 12
Type        : City
Population  : 
Size        : 
Name        : Alblasserwaard
 Country    : NL
 Region     : 
Location    : Earth
 Longitude  :    4.833
 Latitude   :   51.867
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 13
Type        : Pass
Population  : 
Size        : 
Name        : Albula Pass
 Country    : 
 Region     : 
Location    : Earth
 Longitude  :    9.833
 Latitude   :   46.583
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 14
Type        : City
Population  : 
Size        : 
Name        : Alfold
 Country    : 
 Region     : 
Location    : Earth
 Longitude  :   20.000
 Latitude   :   46.750
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 15
Type        : City
Population  : 1507241
Size        : 
Name        : Algiers
 Country    : DZ
 Region     : 
Location    : Earth
 Longitude  :    3.033
 Latitude   :   36.783
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 16
Type        : City
Population  : 
Size        : 
Name        : Alkmaar
 Country    : NL
 Region     : 
Location    : Earth
 Longitude  :    4.717
 Latitude   :   52.617
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 17
Type        : City
Population  : 
Size        : 
Name        : Almelo
 Country    : NL
 Region     : 
Location    : Earth
 Longitude  :    6.667
 Latitude   :   52.350
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 18
Type        : City
Population  : 
Size        : 
Name        : Amapala
 Country    : 
 Region     : 
Location    : Earth
 Longitude  : -87.667
 Latitude   :   13.167
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 19
Type        : City
Population  : 
Size        : 
Name        : Amdabad
 Country    : 
 Region     : 
Location    : Earth
 Longitude  :   72.633
 Latitude   :   23.050
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 20
Type        : City
Population  : 
Size        : 
Name        : Ameland
 Country    : NL
 Region     : 
Location    : Earth
 Longitude  :    5.750
 Latitude   :   53.467
 Elevation  : 
Date        : 19961206
Entered-By  : Rob.Hooft@EMBL-Heidelberg.DE
//
ID          : 21
Type        : City
Population  : 
Size        : 
Name        : Amersfoort
